date,AAPL,AMZN,F
2016-09-29,108.5934,829.05,10.6347
2016-09-30,109.4356,837.31,10.7236
2016-10-03,108.9226,836.74,10.7502
2016-10-04,109.3872,834.03,10.8391
2016-10-05,109.4356,844.36,11.0878
2016-10-06,110.2488,841.66,11.0079
2016-10-07,110.4133,839.43,10.919
2016-10-10,112.3397,841.71,10.768
2016-10-11,112.5817,831.0,10.6525
2016-10-12,113.5885,834.09,10.6258
2016-10-13,113.24,829.28,10.5814
2016-10-14,113.8692,822.96,10.5814
2016-10-17,113.7917,812.95,10.5548
2016-10-18,113.7143,817.65,10.5637
2016-10-19,113.3755,817.69,10.6703
2016-10-20,113.3174,810.32,10.6347
2016-10-21,112.8721,818.99,10.6792
2016-10-24,113.8885,838.09,10.8302
2016-10-25,114.4694,835.18,10.6593
2016-10-26,111.8944,822.59,10.6863
2016-10-27,110.8199,818.36,10.5603
2016-10-28,110.0842,776.32,10.5423
2016-10-31,109.91,789.82,10.5603
2016-11-01,107.9255,785.41,10.4434
2016-11-02,108.0223,765.56,10.2545
2016-11-03,106.8644,767.03,10.2095
2016-11-04,105.9012,755.05,10.2005
2016-11-07,107.4288,784.93,10.4164
2016-11-08,108.0612,787.75,10.3265
2016-11-09,107.8861,771.88,10.4164
2016-11-10,104.8795,742.38,10.7402
2016-11-11,105.5022,739.01,11.0461
2016-11-14,102.8557,719.07,10.8482
2016-11-15,104.2179,743.24,10.8302
2016-11-16,107.0201,746.49,10.7942
2016-11-17,106.9812,756.4,10.6773
2016-11-18,107.0882,760.16,10.5783
2016-11-21,108.7131,780.0,10.6053
2016-11-22,108.7812,785.33,10.6953
2016-11-23,108.2266,780.12,10.7043
2016-11-25,108.7715,780.37,10.8302
2016-11-28,108.5574,766.77,10.7222
2016-11-29,108.4504,762.52,10.7222
2016-11-30,107.5358,750.57,10.7582
2016-12-01,106.5336,743.65,11.181
2016-12-02,106.9325,740.34,11.0101
2016-12-05,106.1639,759.36,11.19
2016-12-06,106.9812,764.72,11.2979
2016-12-07,108.032,770.42,11.7477
2016-12-08,109.0926,767.33,11.7207
2016-12-09,110.8732,768.66,11.8466
2016-12-12,110.2407,760.12,11.5318
2016-12-13,112.0797,774.34,11.4868
2016-12-14,112.0797,768.82,11.271
2016-12-15,112.6927,761.0,11.3159
2016-12-16,112.8386,757.77,11.3609
2016-12-19,113.4905,766.0,11.3879
2016-12-20,113.7922,771.22,11.4958
2016-12-21,113.8992,770.6,11.3699
2016-12-22,113.15,766.34,11.154
2016-12-23,113.3738,760.59,11.208
2016-12-27,114.0938,771.4,11.145
2016-12-28,113.6073,772.13,11.0191
2016-12-29,113.5781,765.15,11.0011
2016-12-30,112.6927,749.87,10.9111
2017-01-03,113.0138,753.67,11.3249
2017-01-04,112.8873,757.18,11.8466
2017-01-05,113.4614,780.45,11.4868
2017-01-06,114.7263,795.99,11.4778
2017-01-09,115.7771,796.92,11.3609
2017-01-10,115.8939,795.9,11.5588
2017-01-11,116.5166,799.02,11.3969
2017-01-12,116.0301,813.64,11.3249
2017-01-13,115.8257,817.14,11.3609
2017-01-17,116.7598,809.72,11.3429
2017-01-18,116.7501,807.48,11.3424
2017-01-19,116.5458,809.04,11.3606
2017-01-20,116.7598,808.33,11.2967
2017-01-23,116.8377,817.88,11.251
2017-01-24,116.7306,822.44,11.5252
2017-01-25,118.5891,836.52,11.6897
2017-01-26,118.6474,839.15,11.3058
2017-01-27,118.6572,835.77,11.4155
2017-01-30,118.3458,830.38,11.3058
2017-01-31,118.0734,823.48,11.2967
2017-02-01,125.2736,832.35,11.2601
2017-02-02,125.0595,839.95,11.2235
2017-02-03,125.5947,810.2,11.4795
2017-02-06,126.772,807.64,11.4429
2017-02-07,127.9785,812.5,11.2784
2017-02-08,128.4747,819.71,11.3149
2017-02-09,129.4031,821.36,11.3149
2017-02-10,129.1099,827.46,11.4338
2017-02-13,130.2533,836.53,11.4795
2017-02-14,131.9439,836.39,11.5617
2017-02-15,132.4227,842.7,11.5434
2017-02-16,132.2615,844.14,11.4612
2017-02-17,132.6279,845.07,11.4977
2017-02-21,133.5856,856.44,11.5983
2017-02-22,133.9862,855.61,11.58
2017-02-23,133.4195,852.19,11.4795
2017-02-24,133.5465,845.24,11.3972
2017-02-27,133.8103,848.64,11.5709
2017-02-28,133.869,845.04,11.452
2017-03-01,136.6052,853.08,11.5983
2017-03-02,135.7941,848.91,11.5709
2017-03-03,136.5954,849.88,11.5617
2017-03-06,136.1654,846.61,11.4429
2017-03-07,136.3413,846.02,11.3881
2017-03-08,135.8332,850.5,11.452
2017-03-09,135.5205,853.0,11.4246
2017-03-10,135.97,852.46,11.452
2017-03-13,136.0286,854.59,11.4612
2017-03-14,135.8234,852.53,11.4703
2017-03-15,137.2599,852.97,11.5617
2017-03-16,137.4847,853.42,11.6074
2017-03-17,136.8006,852.31,11.4063
2017-03-20,138.2371,856.97,11.2235
